"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_michiganensis_502761-17,TRUE,SAMN12212213,VNRB00000000, ,,,
Klebsiella_michiganensis_502790-17,FALSE,SAMN12212214,VNRC00000000, ,,,
Klebsiella_michiganensis_505106-17,FALSE,SAMN12212218,VNRG00000000, ,,,
Klebsiella_michiganensis_602734-17,TRUE,SAMN12212220,VNRI00000000, ,,,
Klebsiella_michiganensis_603572-17,FALSE,SAMN12212221,VNRJ00000000, ,,,
Klebsiella_michiganensis_605924-17,FALSE,SAMN12212224,VNRM00000000, ,,,
Klebsiella_michiganensis_607815-17,TRUE,SAMN12212227,VNRP00000000, ,,,
Klebsiella_michiganensis_608288-17,FALSE,SAMN12212231,VNRT00000000, ,,,
Klebsiella_michiganensis_612478-16,FALSE,SAMN12212240,VNSC00000000, ,,,
Klebsiella_michiganensis_705823-17,FALSE,SAMN12212266,VNUA00000000, ,,,
Klebsiella_michiganensis_705849-17,TRUE,SAMN12212267,VNUB00000000, ,,,
Klebsiella_michiganensis_706508-16,TRUE,SAMN12212269,VNUD00000000, ,,,
Klebsiella_michiganensis_707021-17,FALSE,SAMN12212270,VNUE00000000, ,,,
Klebsiella_michiganensis_707154-17,TRUE,SAMN12212271,VNUF00000000, ,,,
Klebsiella_michiganensis_708990-17,TRUE,SAMN12212274,VNUI00000000, ,,,
Klebsiella_michiganensis_710217-17,FALSE,SAMN12212280,VNUO00000000, ,,,
Klebsiella_michiganensis_720807-16,TRUE,SAMN12212295,VNVF00000000,Yes,,,
Klebsiella_michiganensis_800126-16,TRUE,SAMN12212298,VNVI00000000, ,,,
Klebsiella_michiganensis_DSM-103279,TRUE,SAMN12212321,VNWI00000000,Yes,,,
Klebsiella_oxytoca_400086-17,FALSE,SAMN12212137,VNOD00000000, ,,,
Klebsiella_oxytoca_400125-17,TRUE,SAMN12212138,VNOE00000000, ,,,
Klebsiella_oxytoca_404813-5-17,FALSE,SAMN12212200,VNQO00000000, ,,,
