"Table S1: Strains included in the study and where they can be accessed
Columns: 
'Strain': species and strain name; 
'Included in comparative genomics analysis': Indicates whether the strain was included in the comparative genomic analysis (See Methods), 
'Biosample Accession (sequenced for this study)': NCBI Accessionnumber of strains sequenced for this study, short reads acquired on the Ilumina MiSeq platform as well as long reads acquired on the PacBio Sequel platform can be accessed here; 
'Genebank Accessionnumber ': NCBI Accessionnumber of the genome assemblies, sequenced for this study; 
'PacBio reads available (sequenced for this study)':Indicated whether this strain was sequenced on a PacBio Sequel platform in the course of this study;
'Genebank Accessionnumber  (previously available)': NCBI accessionnumber of publicly available assemblies included in this study
'SRA Accessionnumber  (previously available)': NCBI accessionnumber of publicly reads assemblies included in this study ",,,,,,,
Strain,Included in comperative genomics analysis,Biosample Accession (sequenced for this study),Genebank Accessionnumber ,PacBio reads available (sequenced for this study),Genebank Accessionnumber (previously available),SRA accessionnumer (previously available),
Klebsiella_pneumoniae_S-20PV,FALSE, , , ,GCF_000821665,,
Klebsiella_pneumoniae_S-21PV,FALSE, , , ,GCF_000821685,,
Klebsiella_pneumoniae_S-22PV,FALSE, , , ,GCF_000821705,,
Klebsiella_pneumoniae_S-23PV,FALSE, , , ,GCF_000821725,,
Klebsiella_pneumoniae_S-24PV,FALSE, , , ,GCF_000821745,,
Klebsiella_pneumoniae_S-25BO,FALSE, , , ,GCF_000821765,,
Klebsiella_pneumoniae_S-26BO,FALSE, , , ,GCF_000821785,,
Klebsiella_pneumoniae_S-27BO,FALSE, , , ,GCF_000821805,,
Klebsiella_pneumoniae_S-28BO,FALSE, , , ,GCF_000821825,,
Klebsiella_pneumoniae_S-29BO,FALSE, , , ,GCF_000821845,,
Klebsiella_pneumoniae_S-30BO,FALSE, , , ,GCF_000821865,,
Klebsiella_pneumoniae_S-31AVR,FALSE, , , ,GCF_000821885,,
Klebsiella_pneumoniae_S-32AVR,FALSE, , , ,GCF_000821905,,
Klebsiella_pneumoniae_S-34AVR,FALSE, , , ,GCF_000821925,,
Klebsiella_pneumoniae_S-36AVR,FALSE, , , ,GCF_000821945,,
Klebsiella_pneumoniae_S-37AVR,FALSE, , , ,GCF_000821965,,
Klebsiella_pneumoniae_S-39AVR,FALSE, , , ,GCF_000821985,,
Klebsiella_pneumoniae_S-40AVR,FALSE, , , ,GCF_000822005,,
Klebsiella_pneumoniae_S-41AVR,FALSE, , , ,GCF_000822025,,
Klebsiella_pneumoniae_S-42AVR,FALSE, , , ,GCF_000822045,,
Klebsiella_pneumoniae_S-43AVR,FALSE, , , ,GCF_000822065,,
Klebsiella_pneumoniae_S-44AVR,FALSE, , , ,GCF_000822085,,
Klebsiella_pneumoniae_S-45AVR,FALSE, , , ,GCF_000822105,,
Klebsiella_pneumoniae_S-46AVR,FALSE, , , ,GCF_000822125,,
Klebsiella_pneumoniae_S-47AVR,FALSE, , , ,GCF_000822145,,
Klebsiella_pneumoniae_S-48AVR,FALSE, , , ,GCF_000822165,,
Klebsiella_pneumoniae_S-49BG,FALSE, , , ,GCF_000822185,,
Klebsiella_pneumoniae_S-50BG,FALSE, , , ,GCF_000822205,,
Klebsiella_pneumoniae_S-51BG,FALSE, , , ,GCF_000822225,,
Klebsiella_pneumoniae_S-52BG,FALSE, , , ,GCF_000822245,,
Klebsiella_pneumoniae_S-53BG,FALSE, , , ,GCF_000822265,,
Klebsiella_pneumoniae_S-54BG,FALSE, , , ,GCF_000822285,,
Klebsiella_pneumoniae_S-55BG,FALSE, , , ,GCF_000822305,,
Klebsiella_pneumoniae_S-56BG,FALSE, , , ,GCF_000822325,,
Klebsiella_pneumoniae_S-57BG,FALSE, , , ,GCF_000822345,,
Klebsiella_pneumoniae_S-58BG,FALSE, , , ,GCF_000822365,,
Klebsiella_pneumoniae_S-60BG,FALSE, , , ,GCF_000822385,,
Klebsiella_pneumoniae_S-62BG,FALSE, , , ,GCF_000822405,,
Klebsiella_pneumoniae_S-63BG,FALSE, , , ,GCF_000822425,,
Klebsiella_pneumoniae_S-65BO,FALSE, , , ,GCF_000822445,,
Klebsiella_pneumoniae_S-66BO,FALSE, , , ,GCF_000822465,,
Klebsiella_pneumoniae_S-67BO,FALSE, , , ,GCF_000822485,,
Klebsiella_pneumoniae_S-68BO,FALSE, , , ,GCF_000822505,,
Klebsiella_pneumoniae_S-69BO,FALSE, , , ,GCF_000822525,,
Klebsiella_pneumoniae_S-70BO,FALSE, , , ,GCF_000822545,,
Klebsiella_pneumoniae_S-71RE,FALSE, , , ,GCF_000822565,,
Klebsiella_pneumoniae_S-72RE,FALSE, , , ,GCF_000822585,,
Klebsiella_pneumoniae_S-73RE,FALSE, , , ,GCF_000822605,,
Klebsiella_pneumoniae_S-74RE,FALSE, , , ,GCF_000822625,,
Klebsiella_pneumoniae_S-75RE,FALSE, , , ,GCF_000822645,,
Klebsiella_pneumoniae_S-76RE,FALSE, , , ,GCF_000822665,,
Klebsiella_pneumoniae_S-77RE,FALSE, , , ,GCF_000822685,,
Klebsiella_pneumoniae_S-78RE,FALSE, , , ,GCF_000822705,,
Klebsiella_pneumoniae_S-82RE,FALSE, , , ,GCF_000822765,,
Klebsiella_pneumoniae_S-83RE,FALSE, , , ,GCF_000822785,,
Klebsiella_pneumoniae_S-84RE,FALSE, , , ,GCF_000822805,,
Klebsiella_pneumoniae_S-86SGR,FALSE, , , ,GCF_000822845,,
Klebsiella_pneumoniae_S-87SGR,FALSE, , , ,GCF_000822865,,
Klebsiella_pneumoniae_S-88SGR,FALSE, , , ,GCF_000822885,,
Klebsiella_pneumoniae_S-89SGR,FALSE, , , ,GCF_000822905,,
Klebsiella_pneumoniae_S-90SGR,FALSE, , , ,GCF_000822925,,
Klebsiella_pneumoniae_S-92SGR,FALSE, , , ,GCF_000822965,,
Klebsiella_pneumoniae_S-93SGR,FALSE, , , ,GCF_000822985,,
Klebsiella_pneumoniae_S-94SGR,FALSE, , , ,GCF_000823005,,
Klebsiella_pneumoniae_S-96SGR-1,FALSE, , , ,GCF_000823025,,
Klebsiella_pneumoniae_S-96SGR-2,FALSE, , , ,GCF_000823045,,
Klebsiella_pneumoniae_S-97SGR,FALSE, , , ,GCF_000823065,,
Klebsiella_pneumoniae_S-98SGR,FALSE, , , ,GCF_000823085,,
Klebsiella_pneumoniae_S-99SGR,FALSE, , , ,GCF_000823105,,
Klebsiella_pneumoniae_S-9PV,FALSE, , , ,GCF_000823125,,
Klebsiella_variicola_801-ST919,TRUE, , , ,GCF_000826565,,
Klebsiella_pneumoniae-subsp-ozaenae_ATCC11296(T)-ST91,FALSE, , , ,GCF_000826585,,
Klebsiella_pneumoniae_KPM.nasey-ST11,FALSE, , , ,GCF_000826605,,
Klebsiella_pneumoniae_UMNturkey9-ST45,FALSE, , , ,GCF_000826795,,
Klebsiella_quasipneumoniae-subsp-similipneumoniae_1kgm-ST2045,TRUE, , , ,GCF_000827665,,
Klebsiella_pneumoniae-subsp-rhinoscleromatis_Urmite,FALSE, , , ,GCF_000827775,,
Klebsiella_variicola_DSM15968(T)-ST2263,TRUE, , , ,GCF_000828055,,
Raoultella_terrigena_S12,FALSE, , , ,GCF_000829965,,
Raoultella_ornithinolytica_BAL286,FALSE, , , ,GCF_000935285,,
Klebsiella_variicola_8917,TRUE, , , ,GCF_000941635,,
Klebsiella_pneumoniae_98-ST15,FALSE, , , ,GCF_000943095,,
Klebsiella_pneumoniae_442-STPN13,FALSE, , , ,GCF_000943155,,
Klebsiella_pneumoniae_DSM2026-ST375,FALSE, , , ,GCF_000949515,,
Klebsiella_pneumoniae_CDPH3707-ST147,FALSE, , , ,GCF_000956385,,
Klebsiella_pneumoniae_CDPH3020-ST147,FALSE, , , ,GCF_000956395,,
Raoultella_terrigena_R1Gly,FALSE, , , ,GCF_000964285,,
Klebsiella_pneumoniae_Kp52.145-ST66,FALSE, , , ,GCF_000968155,,
Klebsiella_pneumoniae_ST-437-ST437,FALSE, , , ,GCF_000971075,,
Klebsiella_pneumoniae-subsp-pneumoniae_234-12-ST514,FALSE, , , ,GCF_000981845,,
Klebsiella_pneumoniae_MRSN2404-ST48,FALSE, , , ,GCF_000981955,,
Klebsiella_pneumoniae_MRSN6902-ST258,FALSE, , , ,GCF_000982045,,
Klebsiella_pneumoniae_HE12-ST48,FALSE, , , ,GCF_000982085,,
Klebsiella_pneumoniae_MRSN3852-ST111,FALSE, , , ,GCF_000982205,,
Klebsiella_pneumoniae_MRSN3562-ST48,FALSE, , , ,GCF_000982215,,
Klebsiella_variicola_CICC10011-STPN52,TRUE, , , ,GCF_000986855,,
Klebsiella_michiganensis_CH2-STON15,TRUE, , , ,GCF_001006545,,
Klebsiella_variicola_B1-STPN39,TRUE, , , ,GCF_001006575,,
Klebsiella_variicola_CH4-ST697,TRUE, , , ,GCF_001006625,,
Klebsiella_pneumoniae-subsp-pneumoniae_ST258.FL-ST258,FALSE, , , ,GCF_001008725,,
Klebsiella_pneumoniae_CAV1392-ST11,FALSE, , , ,GCF_001022035,,
Klebsiella_oxytoca_CAV1335-STON5,FALSE, , , ,GCF_001022115,,
Klebsiella_pneumoniae_CAV1344-ST941,FALSE, , , ,GCF_001022175,,
Klebsiella_michiganensis_CAV1374-STON16,TRUE, , , ,GCF_001022195,,
Klebsiella_pneumoniae_CAV1596-ST258,FALSE, , , ,GCF_001022235,,
Klebsiella_oxytoca_CAV1099-STON5,FALSE, , , ,GCF_001022295,,
Klebsiella_michiganensis_PHS-892-STON8,FALSE, , , ,GCF_001028875,,
Klebsiella_michiganensis_PHS-890-STON8,FALSE, , , ,GCF_001028885,,
Klebsiella_oxytoca_CHS143-STON5,TRUE, , , ,GCF_001030705,,
Klebsiella_pneumoniae_CHS153-ST258,FALSE, , , ,GCF_001030715,,
Klebsiella_pneumoniae_CHS222-ST258,FALSE, , , ,GCF_001030745,,
Klebsiella_michiganensis_MGH87-ST143,TRUE, , , ,GCF_001030755,,
Klebsiella_oxytoca_MGH88-STON2,TRUE, , , ,GCF_001030775,,
Klebsiella_pneumoniae_CHS81-ST258,FALSE, , , ,GCF_001030795,,
Klebsiella_pneumoniae_CHS82-ST258,FALSE, , , ,GCF_001030825,,
Klebsiella_pneumoniae_CHS83-ST258,FALSE, , , ,GCF_001030835,,
Klebsiella_pneumoniae_CHS84-ST258,FALSE, , , ,GCF_001030845,,
Klebsiella_pneumoniae_CHS85-ST258,FALSE, , , ,GCF_001030875,,
Klebsiella_pneumoniae_CHS88-ST258,FALSE, , , ,GCF_001030905,,
Klebsiella_pneumoniae_CHS89-ST258,FALSE, , , ,GCF_001030915,,
Klebsiella_pneumoniae_CHS90-ST258,FALSE, , , ,GCF_001030935,,
Klebsiella_pneumoniae_CHS91-ST258,FALSE, , , ,GCF_001030945,,
Klebsiella_pneumoniae_CHS92-ST258,FALSE, , , ,GCF_001030985,,
Klebsiella_pneumoniae_CHS93-ST11,FALSE, , , ,GCF_001030995,,
Klebsiella_pneumoniae_CHS94-ST258,FALSE, , , ,GCF_001031015,,
Klebsiella_pneumoniae_CHS95-ST258,FALSE, , , ,GCF_001031025,,
Klebsiella_pneumoniae_CHS96-ST258,FALSE, , , ,GCF_001031065,,
Klebsiella_pneumoniae_CHS97-ST258,FALSE, , , ,GCF_001031075,,
Klebsiella_pneumoniae_CHS98-ST258,FALSE, , , ,GCF_001031095,,
Klebsiella_pneumoniae_CHS99-ST258,FALSE, , , ,GCF_001031105,,
Klebsiella_pneumoniae_CHS100-ST258,FALSE, , , ,GCF_001031145,,
Klebsiella_pneumoniae_CHS101-ST258,FALSE, , , ,GCF_001031155,,
Klebsiella_pneumoniae_CHS102-ST258,FALSE, , , ,GCF_001031175,,
Klebsiella_pneumoniae_CHS104-ST258,FALSE, , , ,GCF_001031185,,
Klebsiella_pneumoniae_CHS105-ST258,FALSE, , , ,GCF_001031225,,
Klebsiella_pneumoniae_CHS106-ST258,FALSE, , , ,GCF_001031235,,
Klebsiella_pneumoniae_CHS107-ST432,FALSE, , , ,GCF_001031245,,
Klebsiella_pneumoniae_CHS109-ST258,FALSE, , , ,GCF_001031265,,
Klebsiella_pneumoniae_CHS110-ST258,FALSE, , , ,GCF_001031305,,
Klebsiella_pneumoniae_CHS111-ST258,FALSE, , , ,GCF_001031315,,
Klebsiella_pneumoniae_CHS112-ST15,FALSE, , , ,GCF_001031325,,
Klebsiella_pneumoniae_CHS113-ST258,FALSE, , , ,GCF_001031345,,
Klebsiella_pneumoniae_CHS114-ST258,FALSE, , , ,GCF_001031385,,
Klebsiella_pneumoniae_CHS115-ST258,FALSE, , , ,GCF_001031395,,
Klebsiella_pneumoniae_CHS116-ST258,FALSE, , , ,GCF_001031405,,
Klebsiella_pneumoniae_CHS117-ST258,FALSE, , , ,GCF_001031415,,
Klebsiella_pneumoniae_CHS118-ST258,FALSE, , , ,GCF_001031465,,
Klebsiella_pneumoniae_CHS121-ST405,FALSE, , , ,GCF_001031475,,
Klebsiella_pneumoniae_CHS122-ST258,FALSE, , , ,GCF_001031485,,
Klebsiella_pneumoniae_CHS123-ST258,FALSE, , , ,GCF_001031515,,
Klebsiella_pneumoniae_CHS126-ST258,FALSE, , , ,GCF_001031545,,
Klebsiella_pneumoniae_CHS125-ST258,FALSE, , , ,GCF_001031555,,
Klebsiella_pneumoniae_CHS127-ST258,FALSE, , , ,GCF_001031565,,
Klebsiella_pneumoniae_CHS128-ST258,FALSE, , , ,GCF_001031595,,
Klebsiella_pneumoniae_CHS129-ST258,FALSE, , , ,GCF_001031625,,
Klebsiella_pneumoniae_CHS131-ST258,FALSE, , , ,GCF_001031635,,
Klebsiella_pneumoniae_CHS132-ST258,FALSE, , , ,GCF_001031645,,
Klebsiella_pneumoniae_CHS133-ST258,FALSE, , , ,GCF_001031675,,
Klebsiella_pneumoniae_CHS134-ST258,FALSE, , , ,GCF_001031705,,
Klebsiella_pneumoniae_CHS135-ST258,FALSE, , , ,GCF_001031715,,
Klebsiella_pneumoniae_CHS137-ST258,FALSE, , , ,GCF_001031725,,
Klebsiella_pneumoniae_CHS138-ST258,FALSE, , , ,GCF_001031745,,
Klebsiella_pneumoniae_CHS139-ST258,FALSE, , , ,GCF_001031785,,
Klebsiella_pneumoniae_CHS140-ST14,FALSE, , , ,GCF_001031795,,
Klebsiella_pneumoniae_CHS141-ST258,FALSE, , , ,GCF_001031805,,
Klebsiella_pneumoniae_CHS142-ST258,FALSE, , , ,GCF_001031825,,
Klebsiella_pneumoniae_CHS144-ST258,FALSE, , , ,GCF_001031865,,
Klebsiella_pneumoniae_CHS145-ST1411,FALSE, , , ,GCF_001031875,,
Klebsiella_pneumoniae_CHS146-ST29,FALSE, , , ,GCF_001031895,,
Klebsiella_pneumoniae_CHS147-ST258,FALSE, , , ,GCF_001031905,,
Klebsiella_pneumoniae_CHS148-ST258,FALSE, , , ,GCF_001031945,,
Klebsiella_pneumoniae_CHS150-ST258,FALSE, , , ,GCF_001031955,,
Klebsiella_pneumoniae_CHS149-ST258,FALSE, , , ,GCF_001031965,,
Klebsiella_pneumoniae_CHS151-ST258,FALSE, , , ,GCF_001031995,,
Klebsiella_pneumoniae_CHS152-ST258,FALSE, , , ,GCF_001032025,,
Klebsiella_pneumoniae_CHS154-ST258,FALSE, , , ,GCF_001032035,,
Klebsiella_pneumoniae_CHS155-ST258,FALSE, , , ,GCF_001032045,,
Klebsiella_pneumoniae_CHS156-ST258,FALSE, , , ,GCF_001032075,,
Klebsiella_pneumoniae_CHS157-ST258,FALSE, , , ,GCF_001032105,,
Klebsiella_pneumoniae_CHS158-ST258,FALSE, , , ,GCF_001032115,,
Klebsiella_pneumoniae_CHS159-ST158,FALSE, , , ,GCF_001032125,,
Klebsiella_pneumoniae_CHS160-ST258,FALSE, , , ,GCF_001032145,,
Klebsiella_pneumoniae_CHS161-ST29,FALSE, , , ,GCF_001032185,,
Klebsiella_pneumoniae_CHS163-ST258,FALSE, , , ,GCF_001032195,,
Klebsiella_pneumoniae_CHS162-STPN23,FALSE, , , ,GCF_001032205,,
Klebsiella_pneumoniae_CHS164-ST258,FALSE, , , ,GCF_001032225,,
Klebsiella_pneumoniae_CHS165-ST258,FALSE, , , ,GCF_001032265,,
Klebsiella_pneumoniae_CHS166-ST258,FALSE, , , ,GCF_001032275,,
Klebsiella_pneumoniae_CHS167-ST258,FALSE, , , ,GCF_001032285,,
Klebsiella_pneumoniae_CHS168-ST258,FALSE, , , ,GCF_001032305,,
Klebsiella_pneumoniae_CHS169-ST258,FALSE, , , ,GCF_001032345,,
Klebsiella_pneumoniae_CHS170-ST258,FALSE, , , ,GCF_001032355,,
Klebsiella_pneumoniae_CHS172-ST258,FALSE, , , ,GCF_001032365,,
Klebsiella_pneumoniae_CHS173-ST258,FALSE, , , ,GCF_001032375,,
Klebsiella_pneumoniae_CHS174-STPN24,FALSE, , , ,GCF_001032425,,
Klebsiella_pneumoniae_CHS176-ST258,FALSE, , , ,GCF_001032435,,
Klebsiella_pneumoniae_CHS177-ST258,FALSE, , , ,GCF_001032445,,
Klebsiella_pneumoniae_CHS179-ST258,FALSE, , , ,GCF_001032455,,
Klebsiella_pneumoniae_CHS181-ST258,FALSE, , , ,GCF_001032505,,
Klebsiella_pneumoniae_CHS182-ST258,FALSE, , , ,GCF_001032525,,
Klebsiella_pneumoniae_CHS183-ST258,FALSE, , , ,GCF_001032535,,
Klebsiella_pneumoniae_CHS184-ST258,FALSE, , , ,GCF_001032545,,
Klebsiella_pneumoniae_CHS185-ST258,FALSE, , , ,GCF_001032585,,
Klebsiella_pneumoniae_CHS186-ST258,FALSE, , , ,GCF_001032605,,
Klebsiella_pneumoniae_CHS189-ST258,FALSE, , , ,GCF_001032615,,
Klebsiella_pneumoniae_CHS191-ST258,FALSE, , , ,GCF_001032625,,
Klebsiella_pneumoniae_CHS192-ST258,FALSE, , , ,GCF_001032665,,
Klebsiella_pneumoniae_CHS194-ST258,FALSE, , , ,GCF_001032685,,
Klebsiella_pneumoniae_CHS195-ST258,FALSE, , , ,GCF_001032695,,
Klebsiella_pneumoniae_CHS197-ST258,FALSE, , , ,GCF_001032705,,
Klebsiella_pneumoniae_CHS200-ST258,FALSE, , , ,GCF_001032765,,
Klebsiella_pneumoniae_CHS201-STPN73,FALSE, , , ,GCF_001032775,,
Klebsiella_pneumoniae_CHS202-ST258,FALSE, , , ,GCF_001032795,,
Klebsiella_pneumoniae_CHS205-ST258,FALSE, , , ,GCF_001032815,,
Klebsiella_pneumoniae_CHS206-ST2121,FALSE, , , ,GCF_001032845,,
Klebsiella_pneumoniae_CHS207-ST258,FALSE, , , ,GCF_001032855,,
Klebsiella_pneumoniae_CHS208-ST11,FALSE, , , ,GCF_001032875,,
Klebsiella_pneumoniae_CHS209-ST258,FALSE, , , ,GCF_001032895,,
Klebsiella_pneumoniae_CHS210-ST258,FALSE, , , ,GCF_001032925,,
Klebsiella_pneumoniae_CHS211-STPN25,FALSE, , , ,GCF_001032935,,
Klebsiella_pneumoniae_CHS213-ST258,FALSE, , , ,GCF_001032965,,
Klebsiella_pneumoniae_CHS214-ST258,FALSE, , , ,GCF_001032975,,
Klebsiella_pneumoniae_CHS215-ST258,FALSE, , , ,GCF_001033005,,
Klebsiella_pneumoniae_CHS216-ST258,FALSE, , , ,GCF_001033015,,
Klebsiella_pneumoniae_CHS217-ST258,FALSE, , , ,GCF_001033045,,
Klebsiella_pneumoniae_CHS218-ST258,FALSE, , , ,GCF_001033055,,
Klebsiella_pneumoniae_CHS219-ST258,FALSE, , , ,GCF_001033085,,
Klebsiella_pneumoniae_CHS220-ST258,FALSE, , , ,GCF_001033095,,
Klebsiella_pneumoniae_CHS221-ST258,FALSE, , , ,GCF_001033125,,
Klebsiella_pneumoniae_CHS223-ST258,FALSE, , , ,GCF_001033135,,
Klebsiella_pneumoniae_CHS224-ST258,FALSE, , , ,GCF_001033165,,
Klebsiella_pneumoniae_CHS225-ST258,FALSE, , , ,GCF_001033175,,
Klebsiella_pneumoniae_CHS226-ST258,FALSE, , , ,GCF_001033205,,
Klebsiella_pneumoniae_CHS228-ST258,FALSE, , , ,GCF_001033215,,
Klebsiella_pneumoniae_CHS229-ST11,FALSE, , , ,GCF_001033245,,
Klebsiella_pneumoniae_CHS230-ST258,FALSE, , , ,GCF_001033255,,
Klebsiella_pneumoniae_CHS231-ST258,FALSE, , , ,GCF_001033285,,
Klebsiella_pneumoniae_CHS232-ST258,FALSE, , , ,GCF_001033295,,
Klebsiella_pneumoniae_CHS234-ST258,FALSE, , , ,GCF_001033305,,
Klebsiella_pneumoniae_CHS235-ST258,FALSE, , , ,GCF_001033335,,
Klebsiella_pneumoniae_CHS236-ST258,FALSE, , , ,GCF_001033365,,
Klebsiella_pneumoniae_CHS237-ST258,FALSE, , , ,GCF_001033375,,
Klebsiella_pneumoniae_BWH53-ST258,FALSE, , , ,GCF_001033385,,
Klebsiella_pneumoniae_BWH58-ST16,FALSE, , , ,GCF_001033415,,
Klebsiella_pneumoniae_BWH62-ST25,FALSE, , , ,GCF_001033445,,
Klebsiella_pneumoniae_MGH82-ST37,FALSE, , , ,GCF_001033465,,
Klebsiella_pneumoniae_MGH84-ST111,FALSE, , , ,GCF_001033505,,
Klebsiella_pneumoniae_MGH89-ST392,FALSE, , , ,GCF_001033525,,
Klebsiella_pneumoniae_MGH90-ST784,FALSE, , , ,GCF_001033535,,
Klebsiella_pneumoniae_MGH91-ST258,FALSE, , , ,GCF_001033565,,
Klebsiella_variicola_MGH92-STPN46,TRUE, , , ,GCF_001033575,,
Klebsiella_pneumoniae_MGH93-ST147,FALSE, , , ,GCF_001033585,,
Klebsiella_pneumoniae_MGH94-ST23,FALSE, , , ,GCF_001033615,,
Klebsiella_pneumoniae_MGH95-ST258,FALSE, , , ,GCF_001033645,,
Klebsiella_quasipneumoniae-subsp-quasipneumoniae_MGH96-STPN56,TRUE, , , ,GCF_001033665,,
Klebsiella_pneumoniae_MGH97-ST70,FALSE, , , ,GCF_001033675,,
Klebsiella_pneumoniae_MGH101-ST15,FALSE, , , ,GCF_001033725,,
Klebsiella_pneumoniae_MGH102-ST45,FALSE, , , ,GCF_001033745,,
Klebsiella_pneumoniae_MGH111-ST2147,FALSE, , , ,GCF_001033755,,
Klebsiella_pneumoniae_MGH112-STPN7,FALSE, , , ,GCF_001033765,,
Klebsiella_quasipneumoniae-subsp-quasipneumoniae_MGH113-ST143,TRUE, , , ,GCF_001033805,,
Klebsiella_variicola_MGH114-ST641,TRUE, , , ,GCF_001033825,,
Klebsiella_pneumoniae_MGH115-ST15,FALSE, , , ,GCF_001033835,,
Klebsiella_pneumoniae_MGH116-ST111,FALSE, , , ,GCF_001033845,,
Klebsiella_pneumoniae_MGH117-ST15,FALSE, , , ,GCF_001033885,,
Klebsiella_pneumoniae_MGH118-ST628,FALSE, , , ,GCF_001033895,,
Klebsiella_quasipneumoniae-subsp-similipneumoniae_MGH123-STPN58,TRUE, , , ,GCF_001033915,,
Klebsiella_pneumoniae_MGH124-ST14,FALSE, , , ,GCF_001033925,,
Klebsiella_pneumoniae_MGH125-ST258,FALSE, , , ,GCF_001033965,,
Klebsiella_pneumoniae_MGH126-ST607,FALSE, , , ,GCF_001033975,,
Klebsiella_pneumoniae_BIDMC85-ST23,FALSE, , , ,GCF_001033995,,
Klebsiella_pneumoniae_BIDMC86-ST23,FALSE, , , ,GCF_001034005,,
Klebsiella_variicola_BIDMC88-ST454,TRUE, , , ,GCF_001034045,,
Klebsiella_pneumoniae_BIDMC89-STPN21,FALSE, , , ,GCF_001034055,,
Klebsiella_variicola_BIDMC90-STPN45,TRUE, , , ,GCF_001034065,,
Klebsiella_pneumoniae_BIDMC91-ST16,FALSE, , , ,GCF_001034085,,
Klebsiella_quasipneumoniae-subsp-similipneumoniae_BIDMC95-ST1535,TRUE, , , ,GCF_001034125,,
Klebsiella_pneumoniae_BIDMC96-STPN68,FALSE, , , ,GCF_001034135,,
Klebsiella_pneumoniae_UCI70-ST997,FALSE, , , ,GCF_001034155,,
Klebsiella_pneumoniae_UCI75-ST258,FALSE, , , ,GCF_001034165,,
Klebsiella_pneumoniae_UCI76-ST322,FALSE, , , ,GCF_001034205,,
Klebsiella_pneumoniae_UCI81-ST258,FALSE, , , ,GCF_001034215,,
Klebsiella_pneumoniae_UCI82-ST45,FALSE, , , ,GCF_001034235,,
Klebsiella_pneumoniae_UCI91-ST258,FALSE, , , ,GCF_001034245,,
Klebsiella_pneumoniae_UCI92-ST107,FALSE, , , ,GCF_001034285,,
Klebsiella_pneumoniae_UCI93-ST258,FALSE, , , ,GCF_001034295,,
Klebsiella_pneumoniae_UCI94-ST277,FALSE, , , ,GCF_001034305,,
Klebsiella_pneumoniae_UCI95-ST258,FALSE, , , ,GCF_001034325,,
Klebsiella_pneumoniae_UCI96-ST15,FALSE, , , ,GCF_001034365,,
Klebsiella_michiganensis_GY84G39-STON28,TRUE, , , ,GCF_001038305,,
Klebsiella_pneumoniae_JS86C16-ST20,FALSE, , , ,GCF_001038365,,
Raoultella_ornithinolytica_CB1,FALSE, , , ,GCF_001039315,,
Raoultella_planticola_CMUL058,FALSE, , , ,GCF_001049875,,
Klebsiella_michiganensis_CH5-STON15,FALSE, , , ,GCF_001051455,,
Klebsiella_michiganensis_1081.KOXY-STON27,FALSE, , , ,GCF_001052035,,
Klebsiella_michiganensis_1082.KOXY-STON27,FALSE, , , ,GCF_001052045,,
Klebsiella_grimontii_1148.KOXY-STON24,TRUE, , , ,GCF_001052235,,
Klebsiella_pneumoniae_1236.KOXY-STPN35,FALSE, , , ,GCF_001052475,,
Klebsiella_pneumoniae-subsp-pneumoniae_1243-CKOS,FALSE, , , ,GCF_001052515,,
Klebsiella_michiganensis_1246.KOXY-ST83,TRUE, , , ,GCF_001052525,,
Klebsiella_michiganensis_1084.KOXY-STON27,FALSE, , , ,GCF_001052785,,
Klebsiella_grimontii_1154.KOXY-STON25,FALSE, , , ,GCF_001052825,,
Klebsiella_grimontii_1037.KOXY-STON25,TRUE, , , ,GCF_001053665,,
Klebsiella_oxytoca_1047.KOXY-ST19,TRUE, , , ,GCF_001053715,,
Klebsiella_michiganensis_1085.KOXY-STON27,TRUE, , , ,GCF_001053845,,
Klebsiella_oxytoca_197.KOXY-STON5,FALSE, , , ,GCF_001054575,,
Klebsiella_oxytoca_346.KOXY-STON5,FALSE, , , ,GCF_001054935,,
Klebsiella_grimontii_371.KOXY-STON26,FALSE, , , ,GCF_001054995,,
Klebsiella_pneumoniae-subsp-pneumoniae_383.ECLO-ST25,FALSE, , , ,GCF_001055015,,
Klebsiella_oxytoca_181.KOXY-STON5,FALSE, , , ,GCF_001055635,,
Klebsiella_quasipneumoniae-subsp-similipneumoniae_193.KOXY-STPN59,TRUE, , , ,GCF_001055795,,
Klebsiella_pneumoniae-subsp-pneumoniae_291-EBAC,FALSE, , , ,GCF_001056275,,
Klebsiella_michiganensis_337.KOXY-STON21,TRUE, , , ,GCF_001056405,,
Klebsiella_michiganensis_345.KOXY-ST41,TRUE, , , ,GCF_001056445,,
Klebsiella_pneumoniae-subsp-ozaenae_359.ECLO-ST60,FALSE, , , ,GCF_001056485,,
Klebsiella_quasipneumoniae-subsp-similipneumoniae_385.ECLO-ST367,TRUE, , , ,GCF_001056525,,
Klebsiella_michiganensis_442.KOXY-ST92,FALSE, , , ,GCF_001056765,,
Klebsiella_oxytoca_582.KOXY-ST58,FALSE, , , ,GCF_001057405,,
Klebsiella_grimontii_625.KOXY-STON22,TRUE, , , ,GCF_001057685,,
Klebsiella_pneumoniae-subsp-pneumoniae_76.ECLO-ST528,FALSE, , , ,GCF_001058365,,
Klebsiella_pneumoniae_1012.KPNE-ST846,FALSE, , , ,GCF_001060105,,
Klebsiella_pneumoniae_1098.KPNE-STPN30,FALSE, , , ,GCF_001060275,,
