replicate	number_of_strains	number_of_orthologous_cluster	sd
oxytoca_group_Pan	57	24130.98	611.076983366
oxytoca_group_Core	58	2686.5	151.917773812
oxytoca_group_Pan	58	24299.42	607.948668557
oxytoca_group_Core	59	2680.01	150.174664641
oxytoca_group_Pan	59	24470.15	602.373478417
oxytoca_group_Core	60	2670.11	147.972152448
oxytoca_group_Pan	60	24638.79	594.854087907
oxytoca_group_Core	61	2664.24	145.726532931
oxytoca_group_Pan	61	24793.18	616.678706946
oxytoca_group_Core	62	2654.44	145.064697291
oxytoca_group_Pan	62	24959.66	620.445778775
oxytoca_group_Core	63	2646.09	145.730373979
oxytoca_group_Pan	63	25120.95	610.598646821
oxytoca_group_Core	64	2636.17	144.932884812
oxytoca_group_Pan	64	25294.01	610.446975502
oxytoca_group_Core	65	2627.64	141.52134256
oxytoca_group_Pan	65	25448.07	605.859575397
oxytoca_group_Core	66	2618.61	140.082325438
oxytoca_group_Pan	66	25613.55	615.062506986
oxytoca_group_Core	67	2604.35	138.121712631
oxytoca_group_Pan	67	25772.98	608.353515318
oxytoca_group_Core	68	2595.65	136.15185456
oxytoca_group_Pan	68	25940.62	593.054260249
oxytoca_group_Core	69	2580.44	132.05796606
oxytoca_group_Pan	69	26126.82	590.839561641
oxytoca_group_Core	70	2572.72	132.217251522
oxytoca_group_Pan	70	26304.83	572.918476836
oxytoca_group_Core	71	2562.15	128.382738326
oxytoca_group_Pan	71	26460.66	566.028854742
oxytoca_group_Core	72	2554.27	125.125125774
oxytoca_group_Pan	72	26617.07	557.706432722
oxytoca_group_Core	73	2550.21	123.904422439
oxytoca_group_Pan	73	26753.9	547.691071682
oxytoca_group_Core	74	2544.45	124.009062169
oxytoca_group_Pan	74	26902.31	546.453780205
oxytoca_group_Core	75	2540.27	124.408107051
oxytoca_group_Pan	75	27048.21	536.267942264
oxytoca_group_Core	76	2532.72	122.021971792
oxytoca_group_Pan	76	27192.46	515.270112077
oxytoca_group_Core	77	2523.27	122.682749806
oxytoca_group_Pan	77	27346.21	511.705213868
oxytoca_group_Core	78	2517.92	121.693112377
oxytoca_group_Pan	78	27480.98	508.732699558
oxytoca_group_Core	79	2512.19	123.52705736
oxytoca_group_Pan	79	27617.25	504.734234523
oxytoca_group_Core	80	2507.8	122.486080842
oxytoca_group_Pan	80	27759.47	494.625160197
oxytoca_group_Core	81	2503.58	121.886437309
oxytoca_group_Pan	81	27910.15	483.371045368
oxytoca_group_Core	82	2498.0	121.951055756
oxytoca_group_Pan	82	28047.41	485.267969168
oxytoca_group_Core	83	2490.61	121.295003607
oxytoca_group_Pan	83	28173.2	474.280887239
oxytoca_group_Core	84	2480.77	121.247338527
oxytoca_group_Pan	84	28326.27	485.076279672
oxytoca_group_Core	85	2470.18	117.455470711
oxytoca_group_Pan	85	28466.7	491.669411292
oxytoca_group_Core	86	2465.68	115.89209464
oxytoca_group_Pan	86	28595.64	481.944385173
oxytoca_group_Core	87	2460.0	115.856721859
oxytoca_group_Pan	87	28723.21	476.815169536
oxytoca_group_Core	88	2454.18	115.3020711
oxytoca_group_Pan	88	28850.11	468.394019923
oxytoca_group_Core	89	2444.11	110.038620039
oxytoca_group_Pan	89	28991.55	454.983524427
oxytoca_group_Core	90	2438.09	108.068598122
oxytoca_group_Pan	90	29117.78	449.212701958
oxytoca_group_Core	91	2431.16	105.362110837
oxytoca_group_Pan	91	29240.99	445.661227728
oxytoca_group_Core	92	2425.7	104.050612684
oxytoca_group_Pan	92	29370.48	434.567497174
oxytoca_group_Core	93	2420.28	104.710943077
oxytoca_group_Pan	93	29516.35	421.901276959
oxytoca_group_Core	94	2415.34	103.253398976
oxytoca_group_Pan	94	29647.16	421.458010245
oxytoca_group_Core	95	2403.0	100.073073301
oxytoca_group_Pan	95	29786.12	421.379004698
oxytoca_group_Core	96	2398.34	99.8089394794
oxytoca_group_Pan	96	29905.85	426.354438818
oxytoca_group_Core	97	2393.55	99.2841754763
oxytoca_group_Pan	97	30030.34	421.527418325
oxytoca_group_Core	98	2388.54	99.0560871426
oxytoca_group_Pan	98	30163.34	415.436065358
oxytoca_group_Core	99	2381.22	95.1772640918
oxytoca_group_Pan	99	30292.15	406.92533406
oxytoca_group_Core	100	2375.53	93.8698519228
oxytoca_group_Pan	100	30409.19	405.867162875
oxytoca_group_Core	101	2370.34	92.4744526883
oxytoca_group_Pan	101	30530.68	394.598349718
oxytoca_group_Core	102	2365.06	91.7811331375
oxytoca_group_Pan	102	30648.4	394.491546171
oxytoca_group_Core	103	2357.78	88.8482504048
oxytoca_group_Pan	103	30784.05	398.400687123
oxytoca_group_Core	104	2355.39	89.0188626079
oxytoca_group_Pan	104	30893.45	388.913007625
oxytoca_group_Core	105	2349.74	87.4986422752
oxytoca_group_Pan	105	31010.45	387.234951289
oxytoca_group_Core	106	2343.02	86.1298995704
oxytoca_group_Pan	106	31135.86	390.753861657
oxytoca_group_Core	107	2338.3	85.5659394853
oxytoca_group_Pan	107	31255.89	378.95337167
oxytoca_group_Core	108	2332.11	84.0295061273
oxytoca_group_Pan	108	31373.05	360.306851864
oxytoca_group_Core	109	2326.15	83.5173484972
oxytoca_group_Pan	109	31490.81	346.109020252
oxytoca_group_Core	110	2319.43	79.4160254609
oxytoca_group_Pan	110	31596.73	328.850934467
oxytoca_group_Core	111	2314.98	78.3989770341
oxytoca_group_Pan	111	31716.01	325.499692627
oxytoca_group_Core	112	2310.24	78.7386969666
oxytoca_group_Pan	112	31823.04	319.724879232
oxytoca_group_Core	113	2304.08	76.7861550021
oxytoca_group_Pan	113	31935.88	304.212533601
oxytoca_group_Core	114	2297.55	74.4893784375
oxytoca_group_Pan	114	32062.71	292.245557537
oxytoca_group_Core	115	2289.54	69.9335999359
oxytoca_group_Pan	115	32177.98	284.722144555
oxytoca_group_Core	116	2284.06	67.805872902
oxytoca_group_Pan	116	32304.98	275.115465941
oxytoca_group_Core	117	2279.61	68.145857541
oxytoca_group_Pan	117	32428.38	267.772656558
oxytoca_group_Core	118	2271.65	63.9401868937
oxytoca_group_Pan	118	32550.53	254.886816254
oxytoca_group_Core	119	2265.52	61.3070110183
oxytoca_group_Pan	119	32674.95	245.769012489
oxytoca_group_Core	120	2260.95	58.5503842857
oxytoca_group_Pan	120	32779.74	242.192469743
oxytoca_group_Core	121	2254.98	56.0380192369
oxytoca_group_Pan	121	32893.51	232.649886955
oxytoca_group_Core	122	2249.93	55.1344275385
oxytoca_group_Pan	122	33001.5	215.947655695
oxytoca_group_Core	123	2242.29	44.5987208337
oxytoca_group_Pan	123	33106.66	202.702600871
oxytoca_group_Core	124	2237.41	40.4917510118
oxytoca_group_Pan	124	33211.9	173.779486707
oxytoca_group_Core	125	2232.42	32.7607020682
oxytoca_group_Pan	125	33313.04	170.6659263
oxytoca_group_Core	126	2230.13	31.5976755474
oxytoca_group_Pan	126	33411.19	160.876766191
oxytoca_group_Core	127	2223.88	22.3496219207
oxytoca_group_Pan	127	33527.24	146.637247656
oxytoca_group_Core	128	2221.66	21.8069805338
oxytoca_group_Pan	128	33633.9	128.386564718
oxytoca_group_Core	129	2217.28	11.1929263376
oxytoca_group_Pan	129	33736.44	110.073186562
oxytoca_group_Core	130	2214.57	9.02580190343
oxytoca_group_Pan	130	33836.06	89.5494075916
oxytoca_group_Core	131	2210.53	4.52427894808
oxytoca_group_Pan	131	33939.86	64.6168739572
oxytoca_group_Core	132	2208.0	0.0
oxytoca_group_Pan	132	34042.0	0.0
