replicate	number_of_strains	number_of_orthologous_cluster	sd
pseudopneumoniae_Core	53	2233.85	132.398215622
pseudopneumoniae_Pan	53	20314.86	426.669357231
pseudopneumoniae_Core	54	2225.66	133.649632996
pseudopneumoniae_Pan	54	20461.61	413.89930889
pseudopneumoniae_Core	55	2208.53	124.858676511
pseudopneumoniae_Pan	55	20615.62	402.105776631
pseudopneumoniae_Core	56	2199.47	124.656123396
pseudopneumoniae_Pan	56	20764.84	388.415337493
pseudopneumoniae_Core	57	2194.92	124.324227727
pseudopneumoniae_Pan	57	20901.39	381.886289228
pseudopneumoniae_Core	58	2181.01	118.881999899
pseudopneumoniae_Pan	58	21045.57	367.420665042
pseudopneumoniae_Core	59	2172.07	112.683473056
pseudopneumoniae_Pan	59	21182.88	357.087056052
pseudopneumoniae_Core	60	2163.76	109.987373821
pseudopneumoniae_Pan	60	21334.03	352.591618023
pseudopneumoniae_Core	61	2152.55	104.634829287
pseudopneumoniae_Pan	61	21481.97	338.01732071
pseudopneumoniae_Core	62	2143.21	105.063247142
pseudopneumoniae_Pan	62	21616.4	345.272066637
pseudopneumoniae_Core	63	2133.41	105.489439756
pseudopneumoniae_Pan	63	21755.12	337.159584767
pseudopneumoniae_Core	64	2125.4	103.734083116
pseudopneumoniae_Pan	64	21892.09	337.856747602
pseudopneumoniae_Core	65	2117.99	105.64889919
pseudopneumoniae_Pan	65	22026.62	327.877287411
pseudopneumoniae_Core	66	2112.27	103.790737063
pseudopneumoniae_Pan	66	22157.47	317.787396069
pseudopneumoniae_Core	67	2100.81	100.552940782
pseudopneumoniae_Pan	67	22299.07	317.715131997
pseudopneumoniae_Core	68	2085.12	97.6341415694
pseudopneumoniae_Pan	68	22432.46	322.908730758
pseudopneumoniae_Core	69	2076.47	96.8369201286
pseudopneumoniae_Pan	69	22555.0	311.790570736
pseudopneumoniae_Core	70	2070.74	96.2645957764
pseudopneumoniae_Pan	70	22681.35	309.786616076
pseudopneumoniae_Core	71	2061.01	86.3572226279
pseudopneumoniae_Pan	71	22812.49	282.476423618
