replicate	number_of_strains	number_of_orthologous_cluster	sd
pneumonia_group_Pan	57	23298.52	644.459300189
pneumonia_group_Core	58	1378.18	472.49673819
pneumonia_group_Pan	58	23480.63	653.35770685
pneumonia_group_Core	59	1365.59	466.473173827
pneumonia_group_Pan	59	23658.23	654.987967141
pneumonia_group_Core	60	1342.61	467.745248934
pneumonia_group_Pan	60	23828.81	648.884761649
pneumonia_group_Core	61	1326.21	475.969437989
pneumonia_group_Pan	61	23986.14	668.103615018
pneumonia_group_Core	62	1314.53	469.873184061
pneumonia_group_Pan	62	24150.11	670.471310274
pneumonia_group_Core	63	1307.86	466.56369383
pneumonia_group_Pan	63	24301.82	668.905111058
pneumonia_group_Core	64	1290.47	474.502317276
pneumonia_group_Pan	64	24449.76	674.653483205
pneumonia_group_Core	65	1282.8	473.00923881
pneumonia_group_Pan	65	24601.7	691.788284087
pneumonia_group_Core	66	1262.87	477.754825303
pneumonia_group_Pan	66	24741.24	698.022823696
pneumonia_group_Core	67	1255.5	475.499221871
pneumonia_group_Pan	67	24882.19	702.815533337
pneumonia_group_Core	68	1249.89	472.941114622
pneumonia_group_Pan	68	25030.4	693.354656723
pneumonia_group_Core	69	1242.02	469.994765503
pneumonia_group_Pan	69	25169.0	689.901674154
pneumonia_group_Core	70	1229.18	462.627763542
pneumonia_group_Pan	70	25327.04	680.267652031
pneumonia_group_Core	71	1201.2	474.122874369
pneumonia_group_Pan	71	25467.87	684.620254667
pneumonia_group_Core	72	1195.52	472.227137721
pneumonia_group_Pan	72	25598.48	678.264409799
pneumonia_group_Core	73	1186.35	467.062209454
pneumonia_group_Pan	73	25728.98	669.172877215
pneumonia_group_Core	74	1177.11	463.532348278
pneumonia_group_Pan	74	25867.25	665.636002256
pneumonia_group_Core	75	1171.94	460.27993265
pneumonia_group_Pan	75	26004.85	660.485645188
pneumonia_group_Core	76	1158.49	466.712213146
pneumonia_group_Pan	76	26153.15	675.188260784
pneumonia_group_Core	77	1142.75	470.791915287
pneumonia_group_Pan	77	26298.76	674.776631486
pneumonia_group_Core	78	1139.21	469.510389555
pneumonia_group_Pan	78	26445.87	664.396232003
pneumonia_group_Core	79	1135.82	467.893799489
pneumonia_group_Pan	79	26568.31	671.628672631
pneumonia_group_Core	80	1128.61	464.792532104
pneumonia_group_Pan	80	26705.22	680.003361462
pneumonia_group_Core	81	1113.58	467.67020816
pneumonia_group_Pan	81	26840.99	673.203334736
pneumonia_group_Core	82	1107.62	464.088219631
pneumonia_group_Pan	82	26974.56	663.414475573
pneumonia_group_Core	83	1104.43	462.257033586
pneumonia_group_Pan	83	27092.5	672.729537036
pneumonia_group_Core	84	1100.26	461.064564242
pneumonia_group_Pan	84	27219.11	679.946775785
pneumonia_group_Core	85	1095.05	459.179145323
pneumonia_group_Pan	85	27348.52	679.488785485
pneumonia_group_Core	86	1091.74	457.779807768
pneumonia_group_Pan	86	27465.3	673.466428265
pneumonia_group_Core	87	1084.63	453.980696836
pneumonia_group_Pan	87	27588.57	656.98959284
pneumonia_group_Core	88	1082.36	453.332604607
pneumonia_group_Pan	88	27710.3	663.337628964
pneumonia_group_Core	89	1066.87	454.812899004
pneumonia_group_Pan	89	27814.03	657.2720967
pneumonia_group_Core	90	1062.73	452.276350366
pneumonia_group_Pan	90	27936.07	648.967614831
pneumonia_group_Core	91	1054.77	447.088041777
pneumonia_group_Pan	91	28077.97	651.359600451
