replicate	number_of_strains	number_of_orthologous_cluster	sd
varicula_Pan	68	22106.92	507.121773936
varicula_Core	69	2189.37	187.023402546
varicula_Pan	69	22241.03	505.738538278
varicula_Core	70	2180.1	183.46288453
varicula_Pan	70	22373.7	499.375800375
varicula_Core	71	2169.87	182.163918217
varicula_Pan	71	22501.1	495.995534254
varicula_Core	72	2154.76	170.423831667
varicula_Pan	72	22637.13	478.594058781
varicula_Core	73	2143.36	173.07036257
varicula_Pan	73	22771.26	469.863099636
varicula_Core	74	2137.2	169.243847746
varicula_Pan	74	22901.61	456.384703841
varicula_Core	75	2125.65	167.453239742
varicula_Pan	75	23026.61	450.449484293
varicula_Core	76	2115.36	160.447219982
varicula_Pan	76	23157.32	427.433570979
varicula_Core	77	2108.17	160.162670744
varicula_Pan	77	23282.08	428.042467052
varicula_Core	78	2097.93	159.119530857
varicula_Pan	78	23396.06	425.282066869
varicula_Core	79	2090.47	159.230553287
varicula_Pan	79	23507.48	409.184737741
varicula_Core	80	2080.45	155.801949603
varicula_Pan	80	23642.88	399.082103833
varicula_Core	81	2072.32	150.366411143
varicula_Pan	81	23768.84	394.107567042
varicula_Core	82	2064.82	145.541566571
varicula_Pan	82	23887.34	376.95270844
varicula_Core	83	2060.79	144.602095075
varicula_Pan	83	23990.75	373.974394177
varicula_Core	84	2054.84	142.896586383
varicula_Pan	84	24109.71	375.353254815
varicula_Core	85	2046.93	143.080065348
varicula_Pan	85	24223.34	373.856930389
varicula_Core	86	2038.63	140.324527792
varicula_Pan	86	24338.09	368.259422011
varicula_Core	87	2026.92	135.854751849
varicula_Pan	87	24450.11	364.539075958
varicula_Core	88	2011.01	131.535356083
varicula_Pan	88	24583.43	359.827993769
varicula_Core	89	1997.28	124.677029159
varicula_Pan	89	24701.52	341.489076838
varicula_Core	90	1986.91	119.70865424
varicula_Pan	90	24823.94	336.190208662
varicula_Core	91	1979.63	115.585176818
varicula_Pan	91	24938.8	323.073428186
varicula_Core	92	1973.87	115.575573111
varicula_Pan	92	25039.06	322.298365494
varicula_Core	93	1966.88	113.211596579
varicula_Pan	93	25147.1	307.780132562
varicula_Core	94	1956.01	103.261754295
varicula_Pan	94	25269.13	308.166177735
varicula_Core	95	1945.77	91.8499706042
varicula_Pan	95	25369.68	293.672364379
varicula_Core	96	1938.75	87.5075282476
varicula_Pan	96	25490.2	272.430688433
varicula_Core	97	1930.66	84.0586961593
varicula_Pan	97	25588.6	267.506411138
varicula_Core	98	1925.79	83.4546936966
varicula_Pan	98	25691.33	263.222607502
varicula_Core	99	1919.91	78.8366786464
varicula_Pan	99	25794.62	240.411845798
varicula_Core	100	1914.64	76.8288383356
varicula_Pan	100	25888.5	238.506876211
varicula_Core	101	1910.1	75.2912345496
varicula_Pan	101	25987.55	231.140449727
varicula_Core	102	1902.8	69.7027976483
varicula_Pan	102	26082.99	210.245308866
varicula_Core	103	1894.49	61.9295559487
varicula_Pan	103	26180.69	191.726142975
varicula_Core	104	1885.56	52.2697465079
varicula_Pan	104	26285.05	175.987350398
varicula_Core	105	1877.67	46.9288940846
varicula_Pan	105	26382.04	165.011267494
varicula_Core	106	1872.91	47.0512688458
varicula_Pan	106	26477.32	140.745719651
varicula_Core	107	1867.1	39.9300638617
varicula_Pan	107	26583.06	108.224379878
varicula_Core	108	1858.73	24.2470018765
varicula_Pan	108	26687.51	70.7876394577
varicula_Core	109	1852.0	0.0
varicula_Pan	109	26782.0	0.0
