replicate	number_of_strains	number_of_orthologous_cluster	sd
all_Pan	75	31798.82	914.203121631
all_Core	76	980.68	311.738636681
all_Pan	76	31941.04	918.802350019
all_Core	77	968.49	317.380953902
all_Pan	77	32113.86	933.255817233
all_Core	78	964.64	316.549475438
all_Pan	78	32269.17	934.94709
all_Core	79	949.52	321.287829835
all_Pan	79	32453.62	930.282481615
all_Core	80	943.08	317.40493632
all_Pan	80	32603.95	932.36943724
all_Core	81	933.44	323.430435179
all_Pan	81	32752.5	944.93762228
all_Core	82	927.73	322.40325231
all_Pan	82	32922.66	950.052453499
all_Core	83	921.92	319.796268896
all_Pan	83	33090.64	950.198647863
all_Core	84	919.8	319.437756065
all_Pan	84	33249.56	939.089157855
all_Core	85	915.35	317.029758067
all_Pan	85	33419.94	952.191680493
all_Core	86	904.26	321.097917153
all_Pan	86	33565.89	955.737128033
all_Core	87	900.69	319.573925563
all_Pan	87	33729.94	953.785917489
all_Core	88	895.95	317.481034867
all_Pan	88	33899.11	955.610808802
all_Core	89	888.39	312.764636588
all_Pan	89	34054.57	946.855271464
all_Core	90	884.5	310.807544953
all_Pan	90	34200.65	950.302061189
all_Core	91	882.09	310.056256025
all_Pan	91	34330.77	943.152531195
all_Core	92	878.02	307.610337278
all_Pan	92	34476.63	927.672104302
all_Core	93	874.53	306.041580672
all_Pan	93	34615.74	922.327529894
all_Core	94	871.52	304.975818058
all_Pan	94	34760.88	936.043431471
all_Core	95	869.22	303.806898539
all_Pan	95	34901.22	925.940382314
all_Core	96	866.36	302.198660487
all_Pan	96	35022.1	922.438469493
all_Core	97	862.92	300.849652817
all_Pan	97	35170.53	946.236603128
all_Core	98	859.75	299.633221623
all_Pan	98	35296.24	959.195851951
all_Core	99	856.36	298.541371337
all_Pan	99	35440.64	974.286492978
all_Core	100	848.51	295.329866251
all_Pan	100	35581.47	986.260578701
all_Core	101	836.92	297.745585358
all_Pan	101	35725.04	979.461851427
all_Core	102	834.1	296.959138603
all_Pan	102	35862.93	970.914612672
all_Core	103	831.1	295.544429824
all_Pan	103	36004.7	969.110587085
all_Core	104	827.47	294.272678141
all_Pan	104	36140.43	972.67108783
all_Core	105	823.81	291.958445502
all_Pan	105	36275.16	965.33576252
all_Core	106	821.2	291.401235413
all_Pan	106	36408.68	976.729889785
all_Core	107	817.96	290.097084439
all_Pan	107	36555.12	973.16804592
all_Core	108	813.65	288.410969798
all_Pan	108	36686.26	970.120596833
all_Core	109	807.48	284.356096471
all_Pan	109	36821.63	960.030298011
all_Core	110	805.91	283.929043777
all_Pan	110	36952.28	975.477883706
all_Core	111	803.76	283.313187833
all_Pan	111	37074.53	978.85378331
all_Core	112	799.66	281.733569885
all_Pan	112	37191.9	964.907720976
all_Core	113	789.59	284.786554985
all_Pan	113	37319.3	957.98249984
all_Core	114	780.85	288.934330774
all_Pan	114	37447.53	949.350161479
all_Core	115	778.9	288.224721355
all_Pan	115	37576.24	931.254155642
all_Core	116	776.89	287.660803552
all_Pan	116	37698.92	942.477890245
all_Core	117	774.56	286.967953612
all_Pan	117	37823.99	942.043178363
all_Core	118	771.54	285.441006865
all_Pan	118	37947.42	954.447182195
all_Core	119	770.22	284.798861655
all_Pan	119	38072.19	928.285179188
all_Core	120	768.07	284.009762332
all_Pan	120	38178.93	928.121126308
all_Core	121	760.12	288.479575707
all_Pan	121	38303.89	938.311269196
all_Core	122	751.04	291.130380414
all_Pan	122	38416.26	943.0539817
all_Core	123	748.8	290.626805371
all_Pan	123	38535.49	923.250621392
all_Core	124	743.06	288.105772938
all_Pan	124	38650.26	913.667243804
all_Core	125	726.43	293.230020803
all_Pan	125	38774.48	911.818517908
all_Core	126	724.97	292.628653928
all_Pan	126	38891.76	920.146630924
all_Core	127	717.75	296.522018575
all_Pan	127	39009.0	926.791670226
all_Core	128	716.28	295.849964678
all_Pan	128	39118.23	928.14308008
